code_ms|vek_skupina|uroven
01-01|age19|4
01-02|age19|3
01-03|age19|2
01-04|age19|1
02-01|age19|5
02-02|age19|4
02-03|age19|3
02-04|age19|2
02-05|age19|1
02-06|age19|4
02-07|age19|3
02-08|age19|2
03-01|age19|4
03-02|age19|3
03-03|age19|3
03-04|age19|3
03-05|age19|3
03-06|age19|3
03-07|age19|3
03-08|age19|3
03-09|age19|3
03-10|age19|3
03-11|age19|3
03-12|age19|3
03-13|age19|3
03-14|age19|3
03-15|age19|3
03-16|age19|3
03-17|age19|3
03-18|age19|3
03-19|age19|3
03-20|age19|3
03-21|age19|3
03-22|age19|3
03-23|age19|3
03-24|age19|3
03-25|age19|3
03-26|age19|3
03-27|age19|3
03-28|age19|3
03-29|age19|3
03-30|age19|3
03-31|age19|2
03-32|age19|2
03-33|age19|2
03-34|age19|2
03-35|age19|2
03-36|age19|2
03-37|age19|2
03-38|age19|2
03-39|age19|2
03-40|age19|2
03-41|age19|2
03-42|age19|2
03-43|age19|2
03-44|age19|2
03-45|age19|2
03-46|age19|2
03-47|age19|2
03-48|age19|2
03-49|age19|2
03-50|age19|2
03-51|age19|2
03-52|age19|2
03-53|age19|2
03-54|age19|2
03-55|age19|2
03-57|age19|2
03-58|age19|2
03-59|age19|2
03-60|age19|2
03-61|age19|2
03-62|age19|2
03-63|age19|2
03-64|age19|2
03-65|age19|2
03-66|age19|2
03-67|age19|2
03-68|age19|1
04-01|age19|0
04-02|age19|4
04-03|age19|4
04-04|age19|4
04-05|age19|4
04-06|age19|4
04-07|age19|3
04-08|age19|4
04-09|age19|4
04-10|age19|4
04-11|age19|4
04-12|age19|4
04-13|age19|3
04-14|age19|3
04-15|age19|3
04-16|age19|3
04-17|age19|3
04-18|age19|3
04-19|age19|3
04-20|age19|3
04-21|age19|3
04-22|age19|3
04-23|age19|0
04-24|age19|0
04-25|age19|3
04-26|age19|3
04-27|age19|3
04-28|age19|3
04-29|age19|3
04-30|age19|3
04-31|age19|3
04-32|age19|3
04-33|age19|3
04-34|age19|3
05-01|age19|5
05-02|age19|5
05-03|age19|5
05-04|age19|4
05-05|age19|4
05-06|age19|4
05-07|age19|4
05-08|age19|4
05-09|age19|3
05-10|age19|3
05-11|age19|3
05-12|age19|3
05-13|age19|3
05-14|age19|3
05-15|age19|3
05-16|age19|3
05-17|age19|3
05-18|age19|3
05-19|age19|3
05-20|age19|3
05-21|age19|3
05-22|age19|3
05-23|age19|3
05-24|age19|3
05-25|age19|3
05-26|age19|3
05-27|age19|3
05-28|age19|3
05-29|age19|3
05-30|age19|3
05-31|age19|3
05-32|age19|1
05-33|age19|1
05-34|age19|1
05-35|age19|1
05-36|age19|1
05-37|age19|1
05-38|age19|1
05-39|age19|1
05-40|age19|1
05-41|age19|1
05-42|age19|1
05-43|age19|1
05-44|age19|1
06-01|age19|3
06-02|age19|4
06-03|age19|4
06-04|age19|4
06-05|age19|4
06-06|age19|4
06-07|age19|4
